Burrito, Compost, Taco Bell
Burrito, Compost, Taco Del Mar
Chef Special, Compost, Cafeteria
Dirty Napkin, Compost, Cafeteria
Dirty Napkin, Compost, El Camion
Fries, Compost, Cafeteria
Fruit, Compost, Top Banana
Lunch Tray, Compost, Cafeteria
Paper Bag, Compost, Dick's
Paper Boat, Compost, Cafeteria
Pastry Bag, Compost, Starbucks
Pizza Box, Compost, MOD
Pizza, Compost, Cafeteria
Pizza, Compost, MOD
Pop Tart, Compost, Vend Machine
Sandwich, Compost, Cafeteria
Sandwich, Compost, Jimmy John's
Smoothie Cup, Compost, School Store
Straw, Compost, School Store
Take Out Box, Compost, Tony's Teriyaki
Tea Bag, Compost, Jumpin' Jimmy's
Almonds, Garbage, School Store
Bagel Wrapper, Garbage, Jumpin' Jimmy's
Cookie Wrapper, Garbage, Jumpin' Jimmy's
Foil, Garbage, Dick's
Foil, Garbage, El Camion
Foil, Garbage, Taco Del Mar
Fork, Garbage, Cafeteria
Knife, Garbage, Cafeteria
Luna Bars, Garbage, School Store
Milk Carton, Garbage, Cafeteria
Muffin Wrapper, Garbage, Jumpin' Jimmy's
Peanuts, Garbage, School Store
Plastic Bag, Garbage, Mae Ploy
Pop Chips, Garbage, School Store
Pop Tart Wrapper, Garbage, Vend Machine
Spoon, Garbage, Cafeteria
Sun Chips, Garbage, School Store
Take Out Box, Garbage, Mae Ploy
Ziploc Bag, Garbage, Cafeteria
Chocolate Milk, Recycle, School Store
Coffee Cup, Recycle, Jumpin' Jimmy's
Cup, Recycle, Starbucks
Gatorade, Recycle, School Store
Kombucha Bottle, Recycle, QFC
Sparkling Ice, Recycle, School Store
Straw, Recycle, Starbucks
Talking Rain, Recycle, School Store
Water, Recycle, School Store
Water, Recycle, Vend Machine
