Chef Special, Compost, Cafeteria
Dirty Napkin, Compost, Cafeteria
Fork, Garbage, Cafeteria
Fries, Compost, Cafeteria
Knife, Garbage, Cafeteria
Lunch Tray, Compost, Cafeteria
Milk Carton, Garbage, Cafeteria
Paper Boat, Compost, Cafeteria
Pizza, Compost, Cafeteria
Sandwich, Compost, Cafeteria
Spoon, Garbage, Cafeteria
Ziploc Bag, Garbage, Cafeteria
Foil, Garbage, Dick's
Paper Bag, Compost, Dick's
Dirty Napkin, Compost, El Camion
Foil, Garbage, El Camion
Sandwich, Compost, Jimmy John's
Bagel Wrapper, Garbage, Jumpin' Jimmy's
Coffee Cup, Recycle, Jumpin' Jimmy's
Cookie Wrapper, Garbage, Jumpin' Jimmy's
Muffin Wrapper, Garbage, Jumpin' Jimmy's
Tea Bag, Compost, Jumpin' Jimmy's
Plastic Bag, Garbage, Mae Ploy
Take Out Box, Garbage, Mae Ploy
Pizza Box, Compost, MOD
Pizza, Compost, MOD
Kombucha Bottle, Recycle, QFC
Almonds, Garbage, School Store
Chocolate Milk, Recycle, School Store
Gatorade, Recycle, School Store
Luna Bars, Garbage, School Store
Peanuts, Garbage, School Store
Pop Chips, Garbage, School Store
Smoothie Cup, Compost, School Store
Sparkling Ice, Recycle, School Store
Straw, Compost, School Store
Sun Chips, Garbage, School Store
Talking Rain, Recycle, School Store
Water, Recycle, School Store
Cup, Recycle, Starbucks
Pastry Bag, Compost, Starbucks
Straw, Recycle, Starbucks
Burrito, Compost, Taco Bell
Burrito, Compost, Taco Del Mar
Foil, Garbage, Taco Del Mar
Take Out Box, Compost, Tony's Teriyaki
Fruit, Compost, Top Banana
Pop Tart Wrapper, Garbage, Vend Machine
Pop Tart, Compost, Vend Machine
Water, Recycle, Vend Machine
